Name,Task ID,Milestone,Area,Priority,Sprint Plan,Status,Plan,Type,Depends On,Acceptance,Source,Source Path,Source Commit
"[TWN-0104] Verify knowledge, vector, memory, and raw-message contracts",TWN-0104,Milestone 1 - Runtime And Data Discovery,Data,Critical,Sprint 2,Blocked,Shared,Research,TWN-0101,"Authoritative tables, retrieval filters, retention behavior, and store boundaries are documented",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0105] Verify command authorization, idempotency, cache, queue, and object storage",TWN-0105,Milestone 1 - Runtime And Data Discovery,Security,Critical,Sprint 2,Blocked,Shared,Research,TWN-0101,Every write and shared subsystem has a verified tenancy and replay contract,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0106] Verify LINE media, Flex message, image validation, and delivery contracts",TWN-0106,Milestone 1 - Runtime And Data Discovery,LINE,High,Sprint 2,Blocked,Shared,Research,TWN-0101,"Inbound/outbound media interfaces, limits, storage, retry, and delivery results are documented",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0107] Verify migration, rollback, backup, restore, and cost-ledger interfaces",TWN-0107,Milestone 1 - Runtime And Data Discovery,Operations,Critical,Sprint 2,Blocked,Shared,Research,TWN-0101,"Owners, commands, environments, failure recovery, and paid-call logging contract are documented",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0108] Produce the repository map, contradiction report, and revised file-level plan",TWN-0108,Milestone 1 - Runtime And Data Discovery,Platform,Critical,Sprint 2,Blocked,Shared,Review,TWN-0102 through TWN-0107,No private path is guessed; every dependency has an owner; product owner approves proposed platform changes,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0201] Select and document the repository test toolchain,TWN-0201,Milestone 2 - Test Harness And Migration Foundation,Platform,Critical,Sprint 3,Backlog,Shared,Decision,TWN-0108,One supported unit/integration command is documented and runnable locally,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0202] Create a rollback-capable commerce migration runner and manifest,TWN-0202,Milestone 2 - Test Harness And Migration Foundation,Data,Critical,Sprint 3,Backlog,Shared,Task,TWN-0201,"Migrations apply, report versions, roll back, and reject incompatible ordering",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0203] Create a disposable Postgres verification environment,TWN-0203,Milestone 2 - Test Harness And Migration Foundation,Data,Critical,Sprint 3,Backlog,Shared,Task,TWN-0202,"A clean database can be created, migrated, rolled back, and recreated automatically",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0204] Create synthetic fixtures for two stores and five demo businesses,TWN-0204,Milestone 2 - Test Harness And Migration Foundation,Data,High,Sprint 3,Backlog,Shared,Task,TWN-0203,Fixtures contain no real credentials or personal data and cover required module differences,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0205] Test archetype selection, registration validation, and migration replay",TWN-0205,Milestone 2 - Test Harness And Migration Foundation,Platform,Critical,Sprint 3,Backlog,Shared,Task,"TWN-0202, TWN-0204",Finance/lifestyle remain unchanged; commerce selection and repeated migrations behave deterministically,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0206] Test schema-role isolation and secret/environment safeguards,TWN-0206,Milestone 2 - Test Harness And Migration Foundation,Security,Critical,Sprint 3,Backlog,Shared,Task,"TWN-0203, TWN-0204",Each synthetic role is denied access to the other schema and secret scans pass,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0207] Complete test and migration foundation exit review,TWN-0207,Milestone 2 - Test Harness And Migration Foundation,Operations,Critical,Sprint 3,Backlog,Shared,Review,TWN-0201 through TWN-0206,"Supported commands pass from a clean checkout; migration rollback, replay, fixtures, isolation, and regressions have evidence",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0301] Implement Tawan registration and shared archetype configuration,TWN-0301,Milestone 3 - Store Workspace And Access Foundation,Platform,Critical,Sprint 4,Backlog,Standard,Task,TWN-0206,Multiple Tawan Instances reuse shared code without sharing configuration or schema credentials,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0302] Implement trusted Store Resolver and Store Context propagation,TWN-0302,Milestone 3 - Store Workspace And Access Foundation,Platform,Critical,Sprint 4,Backlog,Standard,Task,TWN-0301,"Chat, tools, knowledge, memory, cache, queue, storage, and logs receive the verified Store Context",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0303] Provision one least-privilege schema role per Store Workspace,TWN-0303,Milestone 3 - Store Workspace And Access Foundation,Data,Critical,Sprint 4,Backlog,Standard,Task,"TWN-0202, TWN-0301",Native database permissions prevent cross-store reads and writes,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0304] Implement canonical roles and staff Capability grants,TWN-0304,Milestone 3 - Store Workspace And Access Foundation,Security,Critical,Sprint 4,Backlog,Standard,Task,TWN-0302,"`platform_admin`, `store_owner`, `store_staff`, and `customer` enforce the approved action matrix",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0305] Implement time-limited audited Platform Administrator support sessions,TWN-0305,Milestone 3 - Store Workspace And Access Foundation,Security,High,Sprint 4,Backlog,Shared,Task,TWN-0304,"Session records actor, reason, target, expiry, actions, and immediate revocation",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0306] Implement store settings and subscription entitlement boundaries,TWN-0306,Milestone 3 - Store Workspace And Access Foundation,Platform,High,Sprint 4,Backlog,Standard,Task,TWN-0304,"Timezone, currency, expiry, notifications, review cadence, and Standard/Pro gates validate server-side",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0307] Run cross-store adversarial tests through every implemented interface,TWN-0307,Milestone 3 - Store Workspace And Access Foundation,Security,Critical,Sprint 5,Backlog,Shared,Review,"TWN-0302 through TWN-0306, TWN-0308","Cross-store read, write, cache, vector, queue, object, and URL attempts fail with audit evidence",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0308] Implement append-only Audit Events and authorized inspection,TWN-0308,Milestone 3 - Store Workspace And Access Foundation,Security,Critical,Sprint 4,Backlog,Shared,Task,"TWN-0302, TWN-0304","Security and commercial actions record store, actor, reason, target, result, time, and correlation without mutable history",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0309] Implement staff and Platform Administrator MFA,TWN-0309,Milestone 3 - Store Workspace And Access Foundation,Security,Critical,Sprint 5,Backlog,Shared,Task,"TWN-0105, TWN-0304","Privileged sessions require supported MFA with recovery, revocation, and audit evidence",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0310] Implement webhook, authentication, and tool rate limits",TWN-0310,Milestone 3 - Store Workspace And Access Foundation,Security,High,Sprint 5,Backlog,Shared,Task,"TWN-0105, TWN-0302",Store/customer limits resist abuse without allowing one store to exhaust another store's capacity,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0311] Implement security monitoring and actionable alert delivery,TWN-0311,Milestone 3 - Store Workspace And Access Foundation,Operations,High,Sprint 5,Backlog,Shared,Task,"TWN-0308, TWN-0310","Cross-store denials, auth failures, unusual exports, queue failure, and payment conflicts alert an accountable owner",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0312] Implement periodic staff access and Capability review,TWN-0312,Milestone 3 - Store Workspace And Access Foundation,Security,High,Sprint 5,Backlog,Standard,Task,"TWN-0304, TWN-0308","Owners can review, revoke, and evidence current staff access on a configured cadence",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0313] Complete Store Workspace security exit review,TWN-0313,Milestone 3 - Store Workspace And Access Foundation,Security,Critical,Sprint 5,Backlog,Shared,Review,"TWN-0302 through TWN-0312, TWN-0314","Isolation, roles, audit, MFA, rate limits, monitoring, access review, and key handling pass before feature work begins",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0314] Implement encrypted secret and key lifecycle management,TWN-0314,Milestone 3 - Store Workspace And Access Foundation,Security,Critical,Sprint 5,Backlog,Shared,Task,"TWN-0105, TWN-0302","Secrets and keys are store/environment-scoped, encrypted, rotated, revocable, and absent from logs and exports",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0401] Implement protected source upload and source registry,TWN-0401,Milestone 4 - Knowledge Ingestion And Customer Memory,Data,Critical,Sprint 6,Backlog,Standard,Task,TWN-0313,"Files are private, checksummed, store-scoped, bounded, scanned, and assigned retention classes",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0402] Implement approved-domain URL import with SSRF protection,TWN-0402,Milestone 4 - Knowledge Ingestion And Customer Memory,Security,High,Sprint 6,Backlog,Standard,Task,TWN-0401,"Redirects, private networks, size, timeout, and content type are safely controlled",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0403] Implement structured document parsers and Knowledge Candidate extraction,TWN-0403,Milestone 4 - Knowledge Ingestion And Customer Memory,Data,High,Sprint 6,Backlog,Standard,Task,TWN-0401,"Supported text, CSV, and spreadsheet fields include provenance, confidence, scope, validity, warnings, and conflicts",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0404] Implement candidate review, approval, publication, expiry, and supersession",TWN-0404,Milestone 4 - Knowledge Ingestion And Customer Memory,Platform,Critical,Sprint 6,Backlog,Standard,Task,TWN-0403,Only the Store Owner publishes permanent knowledge; history remains auditable,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0405] Implement daily digest and configurable weekly/monthly knowledge review,TWN-0405,Milestone 4 - Knowledge Ingestion And Customer Memory,Operations,Medium,Sprint 6,Backlog,Standard,Task,TWN-0404,Critical changes request immediate review; lower-risk changes follow owner cadence,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0406] Implement structured Customer Memory with source and confidence,TWN-0406,Milestone 4 - Knowledge Ingestion And Customer Memory,Data,Critical,Sprint 7,Backlog,Standard,Task,TWN-0313,"Explicit and inferred memory records source, dates, confidence, confirmation, version, validity, and correction history",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0407] Implement Customer memory view, correction, deletion, and retention",TWN-0407,Milestone 4 - Knowledge Ingestion And Customer Memory,Security,Critical,Sprint 7,Backlog,Standard,Task,TWN-0406,Thai/plain-language requests work and deletion propagates subject to legal holds,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0408] Implement raw-message expiry and structured Interaction Events,TWN-0408,Milestone 4 - Knowledge Ingestion And Customer Memory,Data,Critical,Sprint 7,Backlog,Standard,Task,TWN-0313,Raw content expires by policy while required progress and outcome events remain structured,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0409] Test prompt injection, knowledge poisoning, stale facts, and cross-store retrieval",TWN-0409,Milestone 4 - Knowledge Ingestion And Customer Memory,Security,Critical,Sprint 7,Backlog,Shared,Review,"TWN-0402, TWN-0404, TWN-0407, TWN-0408","Untrusted content cannot publish, authorize tools, or retrieve another store's data",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0410] Create guided onboarding templates for stores without source data,TWN-0410,Milestone 4 - Knowledge Ingestion And Customer Memory,Product,Medium,Sprint 6,Backlog,Standard,Task,TWN-0403,"Catalog, policy, FAQ, service, shipping, and contact templates produce reviewable Knowledge Candidates",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0411] Implement bounded image/PDF OCR adapter,TWN-0411,Milestone 4 - Knowledge Ingestion And Customer Memory,Data,High,Sprint 6,Backlog,Standard,Task,"TWN-0401, TWN-0403","OCR enforces page/size limits and preserves page-level provenance, confidence, warnings, and failure evidence",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0412] Complete knowledge and memory exit review,TWN-0412,Milestone 4 - Knowledge Ingestion And Customer Memory,Security,Critical,Sprint 7,Backlog,Standard,Review,TWN-0401 through TWN-0411,"Upload, import, parsing, OCR, templates, approval, expiry, memory rights, retention, and poisoning tests pass",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0501] Implement store-specific Customer identity and Sales Journey lifecycle,TWN-0501,"Milestone 5 - Sales Journey, Tasking, And Approvals",Platform,Critical,Sprint 8,Backlog,Standard,Task,TWN-0313,"Journey states, outcomes, Channel identity, value, next action, and timestamps validate consistently",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0502] Implement Task lifecycle, assignment, due time, escalation, and history",TWN-0502,"Milestone 5 - Sales Journey, Tasking, And Approvals",Platform,Critical,Sprint 8,Backlog,Standard,Task,TWN-0501,Approved states and terminal outcomes are enforced and audited,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0503] Implement initial Task types and deterministic deduplication,TWN-0503,"Milestone 5 - Sales Journey, Tasking, And Approvals",Platform,High,Sprint 8,Backlog,Standard,Task,TWN-0502,"Answer, discount, payment, stock, follow-up, delivery, knowledge, and VIP Tasks do not duplicate on retry",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0504] Implement Approval records and owner-only final authority,TWN-0504,"Milestone 5 - Sales Journey, Tasking, And Approvals",Security,Critical,Sprint 8,Backlog,Standard,Task,"TWN-0304, TWN-0502","Knowledge, exceptional price, payment, staff, retention, and sensitive export approvals record scope and actor",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0505] Implement unauthorized-discount escalation without promise,TWN-0505,"Milestone 5 - Sales Journey, Tasking, And Approvals",Platform,High,Sprint 8,Backlog,Standard,Task,"TWN-0503, TWN-0504",Tawan creates a waiting-owner Task and cannot communicate an unapproved commercial exception,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0506] Record structured Interaction Events and Task/Approval analytics events,TWN-0506,"Milestone 5 - Sales Journey, Tasking, And Approvals",Analytics,Medium,Sprint 8,Backlog,Standard,Task,TWN-0501 through TWN-0504,Meaningful progress is measurable without requiring indefinite transcripts,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0507] Test lifecycle authorization, retries, races, timeout, and revoked access",TWN-0507,"Milestone 5 - Sales Journey, Tasking, And Approvals",Security,Critical,Sprint 8,Backlog,Shared,Review,TWN-0501 through TWN-0506,Invalid transitions fail atomically and retries return the prior result,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0508] Implement store-defined Customer Tier rules and evidence,TWN-0508,"Milestone 5 - Sales Journey, Tasking, And Approvals",Data,High,Sprint 9,Backlog,Standard,Task,"TWN-0406, TWN-0501","Tier calculations record store-local evidence, version, dates, confidence, and expiry without cross-store profiling",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0509] Implement owner Tier recommendation review and manual override,TWN-0509,"Milestone 5 - Sales Journey, Tasking, And Approvals",Platform,High,Sprint 9,Backlog,Standard,Task,"TWN-0508, TWN-0504","Tawan recommends; owner can approve, reject, set, expire, or override a Tier with reason and audit history",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0510] Implement staff/owner notification policy and routing,TWN-0510,"Milestone 5 - Sales Journey, Tasking, And Approvals",Operations,High,Sprint 9,Backlog,Standard,Task,"TWN-0306, TWN-0502","Dashboard and LINE destinations respect urgency, role, quiet hours, and critical escalation policy",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0511] Implement notification delivery results, retries, and deduplication",TWN-0511,"Milestone 5 - Sales Journey, Tasking, And Approvals",Operations,High,Sprint 9,Backlog,Standard,Task,TWN-0510,Retries do not duplicate alerts; failures and acknowledgements remain visible and actionable,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0512] Complete Journey, Task, Approval, Tier, and notification exit review",TWN-0512,"Milestone 5 - Sales Journey, Tasking, And Approvals",Security,Critical,Sprint 9,Backlog,Standard,Review,TWN-0501 through TWN-0511,"Authorization, lifecycle, deduplication, escalation, owner authority, Tier, and delivery evidence pass",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0601] Implement catalog items, variants, stock locations, and availability",TWN-0601,Milestone 6 - Retail Commerce And Manual Payment,Data,Critical,Sprint 10,Backlog,Standard,Task,TWN-0313,"Size/color variants remain relational, stock cannot become negative, and store boundaries hold",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0602] Implement deterministic price precedence and auditable exceptions,TWN-0602,Milestone 6 - Retail Commerce And Manual Payment,Platform,Critical,Sprint 10,Backlog,Standard,Task,"TWN-0306, TWN-0504, TWN-0509","Customer-specific, Campaign, Tier, quantity/wholesale, and standard prices resolve in approved order",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0603] Implement Order lifecycle and immutable confirmed line snapshots,TWN-0603,Milestone 6 - Retail Commerce And Manual Payment,Platform,Critical,Sprint 10,Backlog,Standard,Task,"TWN-0501, TWN-0601, TWN-0602",State transitions are atomic and confirmed item/price snapshots do not silently change,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0604] Implement stock reservation, configurable expiry, and release",TWN-0604,Milestone 6 - Retail Commerce And Manual Payment,Data,Critical,Sprint 10,Backlog,Standard,Task,"TWN-0601, TWN-0603",Concurrent reservations never oversell and expiry releases capacity exactly once,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0605] Implement PromptPay QR generation and protected payment evidence storage,TWN-0605,Milestone 6 - Retail Commerce And Manual Payment,Platform,Critical,Sprint 11,Backlog,Standard,Task,TWN-0603,QR uses configured merchant data; slips are private with short-lived authorized access,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0606] Implement payment extraction and duplicate-evidence blocking,TWN-0606,Milestone 6 - Retail Commerce And Manual Payment,Security,Critical,Sprint 11,Backlog,Standard,Task,TWN-0605,"Hash, fingerprint, amount/time, and bank-reference conflicts block approval; confirmed bank references cannot be reused; only owner reason-coded resolution clears a false positive",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0607] Implement manual payment-review Task and owner decision,TWN-0607,Milestone 6 - Retail Commerce And Manual Payment,Platform,Critical,Sprint 11,Backlog,Standard,Task,"TWN-0503, TWN-0504, TWN-0606",Staff may recommend; only Store Owner marks final Phase 1 paid/rejected state,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0608] Implement fulfilment, completion, refund, dispute, and failure handling",TWN-0608,Milestone 6 - Retail Commerce And Manual Payment,Operations,High,Sprint 11,Backlog,Standard,Task,"TWN-0603, TWN-0604, TWN-0607",Delivery failure creates follow-up work; refund/dispute states remain distinct and auditable,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0609] Run the fashion LINE staging journey end to end,TWN-0609,Milestone 6 - Retail Commerce And Manual Payment,LINE,Critical,Sprint 12,Backlog,Standard,Review,"TWN-0409, TWN-0507, TWN-0608, TWN-0613","Question, accurate answer, variant, Order, QR, slip, review, fulfilment, and completion succeed with synthetic data",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
