"Name","Description","List","Labels","Due Date","Members","Type","Priority","Area","Story Points"
"Invest domain: portfolio persistence + cost-ledger logging","Portfolio state that survives restarts, plus cost-ledger wiring for both agents.

Ledger rule: log the charge at the moment the call succeeds, BEFORE parsing the response - so a downstream parse error can never leave a real charge untracked. This exact bug has happened twice historically.","Backlog","Thay,Critical,cost-tracked","2026-09-15","Heng (Wasu)","Task","Critical","Thay","3"
"[FLAG] Invest domain: shadow mode starts","THE DATE THE REST OF THE MONTH HANGS ON.

Shadow is 2 weeks of ELAPSED time, not effort - start on 16 Sep and it closes ~30 Sep, inside the month. Miss it and the go/no-go and the marketing plan both slide.

Agent runs daily, produces drafts, publishes nothing.","Backlog","Thay,Critical,gate","2026-09-16","Heng (Wasu)","Task","Critical","Thay","1"
"Marketing plan: channel mix research (X / FB / LINE OA)","What each channel is actually for - not just ""post everywhere.""

Run this through marketing/team/marketing-lead.md rather than writing from scratch.","Backlog","Marketing,High","2026-09-17","Heng (Wasu)","Task","High","Marketing","3"
"Shadow review #1 - output quality","First read of what the agent is actually producing. Early enough to change the prompt before two weeks of samples are built on a bad voice.","Backlog","Thay,Medium","2026-09-18","Heng (Wasu)","Task","Medium","Thay","1"
"Marketing plan: messaging + positioning","Written against real shadow output rather than a guess at what the content will look like. Must stay inside the brand brief's compliance guardrails.","Backlog","Marketing,High","2026-09-21","Heng (Wasu)","Task","High","Marketing","3"
"Marketing plan: timeline + per-channel cadence","Cadence per channel, sequenced against the shadow window.","To Do","Marketing,High","2026-09-23","Heng (Wasu)","Task","High","Marketing","2"
"Shadow review #2 - compliance guardrail check","Check output against: AI disclosure, no guaranteed-return language, no hype.

This review feeds directly into the go/no-go.","Backlog","Thay,High,needs-decision","2026-09-24","Heng (Wasu)","Task","High","Thay","2"
"Shadow evaluation - is auto-post actually safe?","Assemble the evidence from two weeks of shadow output: how often did it produce something that would have been wrong, non-compliant, or off-voice if published unreviewed?","Backlog","Thay,Critical,needs-decision","2026-09-28","Heng (Wasu)","Task","Critical","Thay","3"
"Marketing plan: finalise","Now backed by two weeks of real content samples instead of assumptions.","To Do","Marketing,High","2026-09-29","Heng (Wasu)","Task","High","Marketing","3"
"[FLAG] GO/NO-GO: auto-post to X + FB","THIS IS A REAL DECISION, NOT A FORMALITY.

The marketing team design carries a hard rule: ""Draft only, always. Nothing this team produces gets posted, sent, or published automatically"" - written specifically for Thay's financial-compliance exposure.

GO -> the rule is formally amended, and disclosure/guardrail checks are wired into the publishing path.
NO-GO -> pipeline keeps a human checkpoint: auto-detect, auto-draft, human review, post.

Either way, record it as a decision with reasoning in docs/tawan/DECISIONS.md. Don't leave two documents contradicting each other.","Backlog","Thay,Critical,needs-decision","2026-09-30","Heng (Wasu)","Task","Critical","Thay","1"
"Wire auto-post with disclosure, or human-in-loop flow","Whichever way the go/no-go lands, build that path.","Backlog","Thay,High","2026-10-01","Heng (Wasu)","Task","High","Thay","5"
"Monthly retro + re-plan October","Both people. What actually got done vs planned, what the real velocity was, re-prioritise.","Backlog","Duply Platform,Medium","2026-10-02","Unassigned","Task","Medium","Duply Platform","2"
"Push / reconcile local Tawan commits to origin","RESOLVED 3 Sep. Tawan foundation merged to origin/main via PR #4 (095eb84), then PR #5 (b49c399). Local went from ~31 ahead / 3 behind to 2 ahead / 0 behind.

TWN-0005 (publish approved commits to canonical default branch) and TWN-0006 (commit-pinned Markdown links) are both Done.","Done","Duply Platform,High","2026-09-05","First (Touchap)","Task","High","Duply Platform","2"
"Decide: make duply-creator repo private?","The repo is public. The credential leak happened partly because a teammate believed it was private - commit message: ""Repo is private/trusted - no need to send credentials out-of-band.""

Rotation fixes the immediate exposure. This decides whether that assumption gets made correct, or whether public stays and everyone works accordingly.","Backlog","Duply Platform,High,needs-decision","","Unassigned","Task","High","Duply Platform","1"
"AI marketing team playbook","Merged to main 3 Sep (bbcffef). 5 role playbooks - marketing-lead orchestrator plus content-strategist, copywriter, social-media-manager, growth-marketer - with brand briefs for Thay and Duply, and one verified end-to-end campaign as a worked example.

Use: ask a Claude session in the repo to act as marketing/team/marketing-lead.md. Everything it produces is a draft for review.

Design docs now live in marketing/design/.","To Do","Tooling,Medium","","Heng (Wasu)","Task","Medium","Tooling","5"
"Verification baseline - what is actually proven","Reference card. Re-run before trusting any ""it works"" claim.

VERIFIED 4 Sep:
  python3 -m unittest discover -s tests -p ""test_*.py""   -> Ran 21 tests, OK
  PYTHONPYCACHEPREFIX=/tmp/duply-creator-pycache python3 -m compileall scripts duples -> clean

21 tests: test_migration_runner.py (7), test_provision_duple.py (5), test_tawan_policies.py (9).

Schema: migrations 0010/0020/0030 applied to Supabase fpjevusrpausqunjhubk / tawan_ai. 59 tables, 12/12 expected new tables, 96 indexes, no existing platform tables changed.

WHAT THIS DOES NOT PROVE: no Supabase, LINE, runtime, backup, queue or object-storage integration is tested; tests run with no network and no real credentials; schema creation is verified but the authoritative runner, rollback and recovery environment are not; new tables have no RLS. This is why 15 cards sit in Review rather than Done.","Done","Duply Platform,Medium","","Unassigned","Task","Medium","Duply Platform","1"
"Khun - paused","Registered, provisioned, live. Not in active development - Thay and Tawan are the focus. Placeholder so it isn't silently forgotten.","Backlog","Khun,Low","","Unassigned","Task","Low","Khun",""
"Dom - paused","Registered and provisioned. Not in active development.

Before resuming: review the never-merged origin/proposal/family-archetype-dom branch - 2 commits of design thinking (quest/reward starter content, team message draft) not reflected in the current register/dom.yaml.","Backlog","Dom,Low","","Unassigned","Task","Low","Dom",""
